delay,freq,condition,textbox.text,,,,,,,
0.4,400,exp,310,,,,,,,
0.7,400,exp,710,,,,,,,
0.1,400,exp,450,,,,,,,
0.1,1000,unexp,670,,,,,,,
0.7,400,exp,650,,,,,,,
0.4,1000,unexp,320,,,,,,,
0.7,1000,unexp,300,,,,,,,
0.1,1000,unexp,530,,,,,,,
0.1,1000,unexp,530,,,,,,,
0.7,1000,unexp,460,,,,,,,
0.4,1000,unexp,720,,,,,,,
0.1,400,exp,880,,,,,,,
0.1,400,exp,870,,,,,,,
0.7,400,exp,250,,,,,,,
0.1,1000,unexp,200,,,,,,,
0.4,400,exp,200,,,,,,,
0.4,1000,unexp,200,,,,,,,
0.7,400,exp,200,,,,,,,
0.7,400,exp,250,,,,,,,
