trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
75,0,75,0,111.1399531000061,,111.09090019995347,10,111.1399531000061,111.1399531000061,0.03322039998602122,112.48305329994764,[0.40185185185185185],[-0.16018518518518518],[1],[0],[0],[1.3597470000386238],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
76,0,76,0,112.5354459999362,,112.48812270001508,5,112.5354459999362,112.5354459999362,0.02970139996614307,113.60100559995044,[0.021296296296296296],[0.3537037037037037],[1],[0],[0],[1.083648799918592],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
77,0,77,0,113.66829159995541,,113.60850780003238,10,113.66829159995541,113.66829159995541,0.04505059996154159,114.85025030001998,[0.3907407407407407],[-0.20833333333333334],[1],[0],[0],[1.1975980999413878],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
78,0,78,0,114.91643079998903,,114.85767890000716,10,114.91643079998903,114.91643079998903,0.04476239997893572,117.39950850000605,[-0.28055555555555556],[-0.001851851851851852],[1],[0],[0],[2.498138800030574],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
79,0,79,0,117.42992529994808,,117.40370629995596,5,117.42992529994808,117.42992529994808,0.015991399995982647,118.38435169996228,[-0.39351851851851855],[-0.009259259259259259],[1],[0],[0],[0.9646722000325099],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
80,0,80,0,118.45691489998717,,118.39178880001418,10,118.45691489998717,118.45691489998717,0.04802029998973012,119.29845739994198,[0.02962962962962963],[0.15833333333333333],[1],[0],[0],[0.859335400047712],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
81,0,81,0,119.38082580000628,,119.30560299998615,10,119.38082580000628,119.38082580000628,0.059107700013555586,120.63300699996762,[-0.3333333333333333],[-0.21296296296296297],[1],[0],[0],[1.2693906999193132],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
82,0,82,0,120.6834472999908,,120.63726630003657,10,120.6834472999908,120.6834472999908,0.029103900073096156,121.45282070001122,[-0.08518518518518518],[0.07037037037037037],[1],[0],[0],[0.7867062999866903],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
83,0,83,0,121.5048285999801,,121.45774220000021,10,121.5048285999801,121.5048285999801,0.03115529997739941,122.93892009998672,[-0.020370370370370372],[-0.3712962962962963],[1],[0],[0],[1.4502600999549031],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
84,0,84,0,122.9740733000217,,122.94597170001362,5,122.9740733000217,122.9740733000217,0.019012699951417744,123.83452090003993,[0.3787037037037037],[-0.03518518518518519],[1],[0],[0],[0.8699064999818802],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
85,0,85,0,123.89532000001054,,123.84218869998585,10,123.89532000001054,123.89532000001054,0.03848460002336651,124.85175269993488,[0.30925925925925923],[-0.17777777777777778],[1],[0],[0],[0.9722231000196189],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
86,0,86,0,124.91966949997004,,124.85654940002132,10,124.91966949997004,124.91966949997004,0.04695339989848435,127.08661520003807,[-0.07407407407407407],[0.43148148148148147],[1],[0],[0],[2.1831985000753775],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
87,0,87,0,127.17608540004585,,127.09428940003272,10,127.17608540004585,127.17608540004585,0.05550400004722178,128.39310470002238,[-0.062037037037037036],[0.4361111111111111],[1],[0],[0],[1.2443013000302017],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
88,0,88,0,128.435373299988,,128.40040389995556,5,128.435373299988,128.435373299988,0.024903599987737834,129.71589949994814,[0.32592592592592595],[-0.17685185185185184],[1],[0],[0],[1.2915911000454798],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
89,0,89,0,129.75092859996948,,129.72292029997334,5,129.75092859996948,129.75092859996948,0.018892199965193868,131.03584929998033,[0.22592592592592592],[0.3],[1],[0],[0],[1.2947931999806315],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
90,0,90,0,131.10083639994264,,131.04339140001684,10,131.10083639994264,131.10083639994264,0.040543199982494116,133.0405581999803,[-0.42592592592592593],[0.40925925925925927],[1],[0],[0],[1.9574716000352055],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
91,0,91,0,133.09605329995975,,133.04812349996064,5,133.09605329995975,133.09605329995975,0.030132499989122152,134.3997891000472,[0.5027777777777778],[-0.13796296296296295],[1],[0],[0],[1.3224160999525338],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
92,0,92,0,134.47075610002503,,134.4054247000022,10,134.47075610002503,134.47075610002503,0.04298600007314235,136.70338620000985,[-0.15462962962962962],[-0.39166666666666666],[1],[0],[0],[2.2553823000052944],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
93,0,93,0,136.73694039997645,,136.70937769999728,5,136.73694039997645,136.73694039997645,0.0183070000493899,137.9329701999668,[-0.4425925925925926],[0.005555555555555556],[1],[0],[0],[1.205637599923648],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
94,0,94,0,138.02306219993625,,137.94048859993927,10,138.02306219993625,138.02306219993625,0.06342519994359463,139.9817339000292,[0.41388888888888886],[0.2972222222222222],[1],[0],[0],[1.978976699989289],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
95,0,95,0,140.03129590000026,,139.98688059998676,5,140.03129590000026,140.03129590000026,0.03207090008072555,141.28247810003813,[0.3472222222222222],[-0.022222222222222223],[1],[0],[0],[1.2637948000337929],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
96,0,96,0,141.3816300999606,,141.28962970001157,10,141.3816300999606,141.3816300999606,0.06357340002432466,142.4260717999423,[0.43425925925925923],[-0.04814814814814815],[1],[0],[0],[1.073865200043656],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
97,0,97,0,142.4810399999842,,142.43258529994637,10,142.4810399999842,142.4810399999842,0.032266899943351746,146.66728499997407,[-0.014814814814814815],[-0.28055555555555556],[1],[0],[0],[4.203088199952617],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
98,0,98,0,146.69758150004782,,146.67089039995335,5,146.69758150004782,146.69758150004782,0.01459829998202622,147.93308899994008,[-0.46574074074074073],[-0.4009259259259259],[1],[0],[0],[1.2476257999660447],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
99,0,99,0,147.99145420000423,,147.94035559997428,10,147.99145420000423,147.99145420000423,0.03539890004321933,149.41674150002655,[0.03425925925925926],[0.025925925925925925],[1],[0],[0],[1.442084899987094],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
100,0,100,0,149.48281109996606,,149.42175880004652,10,149.48281109996606,149.48281109996606,0.0448894000146538,151.47497570002452,[-0.4287037037037037],[-0.046296296296296294],[1],[0],[0],[2.008748700027354],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
101,0,101,0,151.5613554000156,,151.48190729995258,10,151.5613554000156,151.5613554000156,0.05271289998199791,152.32312730001286,[-0.4074074074074074],[0.011111111111111112],[1],[0],[0],[0.7895271999295801],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
102,0,102,0,152.3731103000464,,152.3281650999561,10,152.3731103000464,152.3731103000464,0.029294000007212162,153.7363624999998,[0.35648148148148145],[0.06481481481481481],[1],[0],[0],[1.3792432999471202],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
103,0,103,0,153.78382430004422,,153.74342960002832,5,153.78382430004422,153.78382430004422,0.027481299941428006,154.89854960003868,[-0.12314814814814815],[0.23333333333333334],[1],[0],[0],[1.128292099921964],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
104,0,104,0,154.95643829996698,,154.9062389000319,5,154.95643829996698,154.95643829996698,0.034016799996607006,156.26514569995925,[0.19444444444444445],[0.18888888888888888],[1],[0],[0],[1.3260768000036478],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
105,0,105,0,156.32224639994092,,156.27201229997445,10,156.32224639994092,156.32224639994092,0.032046200009062886,157.9089657999575,[-0.07314814814814814],[-0.4203703703703704],[1],[0],[0],[1.6054898999864236],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
106,0,106,0,157.95140799996443,,157.91658700001426,5,157.95140799996443,157.95140799996443,0.025792700005695224,159.58490599994548,[0.16666666666666666],[0.1824074074074074],[1],[0],[0],[1.6435006000101566],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
107,0,107,0,159.6315713999793,,159.5922375000082,5,159.6315713999793,159.6315713999793,0.029624400078319013,161.19820929993875,[-0.2638888888888889],[-0.08518518518518518],[1],[0],[0],[1.5771498999092728],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
